iter	MultiClass
412	0.3474288384
413	0.3467750512
414	0.3463395312
415	0.3456446655
416	0.3453058086
417	0.3449144514
418	0.3446177017
419	0.3440477533
420	0.3436219187
421	0.3433306815
422	0.3425811657
423	0.3422275402
424	0.3418031652
425	0.341281536
426	0.3409146854
427	0.3406824296
428	0.3400400374
429	0.3396562626
430	0.3393723398
431	0.3388863646
432	0.338360299
433	0.3378352427
434	0.3375790724
435	0.3370753678
436	0.3364614402
437	0.3358167565
438	0.3355625513
439	0.3352395805
440	0.3346731706
441	0.3344142062
442	0.3338888752
443	0.3335394068
444	0.3330497963
445	0.3326033748
446	0.3323108609
447	0.3319909726
448	0.3312816113
449	0.3306409832
450	0.3302380021
451	0.3298972248
452	0.3295185207
453	0.3289842968
454	0.3285252364
455	0.3280748678
456	0.3275910942
457	0.3271953514
458	0.3267024459
459	0.3262578915
460	0.3259138028
461	0.3254930908
462	0.3250806546
463	0.3246292558
464	0.3240631877
465	0.3234552864
466	0.32313727
467	0.3228032563
468	0.322218969
469	0.3218590992
470	0.3214890734
471	0.3212208763
472	0.3208433194
473	0.3203128038
474	0.3199702529
475	0.319676816
476	0.3190230285
477	0.3185743057
478	0.3181386426
479	0.3178710819
480	0.3174062979
481	0.3167714984
482	0.3163961229
483	0.3161645931
484	0.3155060365
485	0.3150926943
486	0.3146816663
487	0.3141596885
488	0.3137821549
489	0.313368972
490	0.3130000946
491	0.3126910372
492	0.3121843954
493	0.3118100883
494	0.3115063674
495	0.311182842
496	0.3106580215
497	0.3101377301
498	0.3096397827
499	0.3091688758
