iter	MultiClass
0	1.560122539
1	1.511662818
2	1.470072437
3	1.430941307
4	1.395153363
5	1.361284747
6	1.331091802
7	1.305872448
8	1.276115291
9	1.250981946
10	1.226427983
11	1.205413364
12	1.184634727
13	1.166394649
14	1.148045678
15	1.132802804
16	1.11744492
17	1.102964003
18	1.087118791
19	1.076015814
20	1.062360582
21	1.051155907
22	1.039596507
23	1.028283155
24	1.018108771
25	1.005532108
26	0.9951909318
27	0.9855417989
28	0.9755307414
29	0.9655294807
30	0.9559630566
31	0.9477192766
32	0.9399983929
33	0.932793218
34	0.9238115418
35	0.9157369135
36	0.9092670893
37	0.9008258131
38	0.8947027093
39	0.8881743226
40	0.8821002711
41	0.8760928175
42	0.8693943092
43	0.8626358041
44	0.8579525824
45	0.8513709889
46	0.8456962248
47	0.841815033
48	0.8372110107
49	0.8325626899
50	0.828810881
51	0.8246758501
52	0.8193858976
53	0.8159868434
54	0.8115645157
55	0.8068653016
56	0.8029326359
57	0.7986443615
58	0.7950522523
59	0.7900450809
60	0.7853727361
61	0.7808121379
62	0.7771659058
63	0.7722744658
64	0.7689061958
65	0.7651463975
66	0.7612498432
67	0.7579614303
68	0.753840069
69	0.7505233561
70	0.7465172435
71	0.7435912133
72	0.7410552607
73	0.7379390048
74	0.7350585329
75	0.7311455843
76	0.7278090205
77	0.7250777731
78	0.7221967897
79	0.7187187778
80	0.7160198924
81	0.714059434
82	0.7107570863
83	0.7079149671
84	0.705906222
85	0.702856821
86	0.6999189289
87	0.6969155
88	0.6940398413
89	0.6914680245
90	0.6881932941
91	0.6856361643
92	0.6837292214
93	0.6807935294
94	0.6784739159
95	0.6768536342
96	0.6748638488
97	0.6725819652
98	0.6693189306
99	0.6665973794
100	0.6649033325
101	0.6624353149
102	0.6599177498
103	0.6574968253
104	0.6553234352
105	0.6545269814
106	0.6522213699
107	0.6504743133
108	0.6483714062
109	0.6462832386
110	0.6451248122
111	0.6434681631
112	0.6418073021
113	0.6398971753
114	0.6382711439
115	0.6367361853
116	0.635198542
117	0.6335153445
118	0.631427795
119	0.6294694884
120	0.6279008918
121	0.6259110889
122	0.6241127627
123	0.6222613513
124	0.6199116131
125	0.617326373
126	0.6160027944
127	0.6137833483
128	0.6125745559
129	0.6103139811
130	0.6085489122
131	0.6071735098
132	0.6059544187
133	0.6042059461
134	0.6023453677
135	0.6006029129
136	0.5987599175
137	0.5972760957
138	0.59557703
139	0.5936932849
140	0.5924006243
141	0.5904901804
142	0.5889247861
143	0.5872130662
144	0.5856710104
145	0.5843352641
146	0.5832977874
147	0.5809120252
148	0.57993357
149	0.5781342374
150	0.5760393397
151	0.5740269854
152	0.5725672545
153	0.5713800642
154	0.5700127857
155	0.5689869447
156	0.567548691
157	0.5659489835
158	0.564212487
159	0.562197759
160	0.5606523051
161	0.5592974762
162	0.5577888477
163	0.5566753473
164	0.5556776078
165	0.5545198885
166	0.5533341957
167	0.5519331371
168	0.550697362
169	0.5493057565
170	0.5481980219
171	0.5469707706
172	0.5457645314
173	0.5442560465
174	0.5425869035
175	0.5408973339
176	0.5389413382
177	0.5371469741
178	0.5360129727
179	0.5345919739
180	0.5333706961
181	0.5319458647
182	0.5308539657
183	0.5299986284
184	0.5290705634
185	0.5274264311
186	0.5263947719
187	0.5248081417
188	0.5230226969
189	0.5212490849
190	0.5202779727
191	0.5193251331
192	0.5184699182
193	0.5173702828
194	0.516689005
195	0.5153899725
196	0.5148494069
197	0.5137516891
198	0.5123067399
199	0.5115741125
200	0.5103118362
201	0.509004458
202	0.507430596
203	0.5061058771
204	0.5050890836
205	0.5043579851
206	0.5036633167
207	0.5026331796
208	0.5017268913
209	0.5007928154
210	0.4999997309
211	0.4991409051
212	0.4979731037
213	0.4964995991
214	0.4956325979
215	0.4943100065
216	0.4934662388
217	0.492283665
218	0.4913080912
219	0.4901596952
220	0.4890062047
221	0.4879130498
222	0.487260721
223	0.4865199162
224	0.4853439218
225	0.4840282026
226	0.482480508
227	0.4812707041
228	0.4798655962
229	0.4793076971
230	0.478212327
231	0.4772455808
232	0.4761794931
233	0.4751852875
234	0.4742269316
235	0.4729648323
236	0.4713739909
237	0.4701917992
238	0.469032467
239	0.4678441821
240	0.4668849078
241	0.4662902329
242	0.4651709406
243	0.4644823491
244	0.4633694326
245	0.4623820871
246	0.4616126227
247	0.4609064039
248	0.4599539835
249	0.4590111754
250	0.4578074279
251	0.4572360924
252	0.4565022999
253	0.455338755
254	0.454385382
255	0.4533250655
256	0.4525390559
257	0.4516959883
258	0.4508420071
259	0.4498767681
260	0.4491603686
261	0.4481753853
262	0.4475440689
263	0.4465771735
264	0.4455910451
265	0.44454687
266	0.4436631365
267	0.4430257185
268	0.4416833305
269	0.4408833986
270	0.4403228962
271	0.4391590967
272	0.4384545275
273	0.4378145226
274	0.4369629904
275	0.436445392
276	0.4355161736
277	0.4347802841
278	0.4338907232
279	0.4332782545
280	0.4321994111
281	0.4314198553
282	0.4306384949
283	0.4296588193
284	0.4290009765
285	0.4284238075
286	0.4272579583
287	0.4264878565
288	0.4259318761
289	0.4251096556
290	0.4246382801
291	0.4240722208
292	0.4233631928
293	0.4227397621
294	0.4217491852
295	0.4205615607
296	0.4196346511
297	0.4187761597
298	0.4180674064
299	0.4173336661
300	0.4165939292
301	0.4159045896
302	0.4150423222
303	0.4143412377
304	0.4137007251
305	0.4126046819
306	0.4121445533
307	0.4114746285
308	0.4104856855
309	0.4095283522
310	0.4086150766
311	0.4077229095
312	0.4070454048
313	0.4065991613
314	0.4058369724
315	0.4048459223
316	0.4038792877
317	0.4032265801
318	0.4021793201
319	0.401255481
320	0.4007634492
321	0.4002942517
322	0.3998280131
323	0.3990199607
324	0.3981138191
325	0.3975166669
326	0.396772481
327	0.3960689237
328	0.3953939695
329	0.3950024265
330	0.3945954738
331	0.3940947334
332	0.3934933584
333	0.3929008455
334	0.3924875311
335	0.3919655282
336	0.3910302023
337	0.3902665492
338	0.3893696442
339	0.3886654463
340	0.3879330335
341	0.3874874871
342	0.387085531
343	0.3867508581
344	0.3861680329
345	0.3852277339
346	0.3845693756
347	0.3841152567
348	0.383564365
349	0.3830448441
350	0.3823208176
351	0.3816257068
352	0.3809087259
353	0.3803165952
354	0.379659202
355	0.3793950654
356	0.378934155
357	0.3782949257
358	0.377675861
359	0.3771679044
360	0.3764282484
361	0.3755848723
362	0.3745259243
363	0.3740456861
364	0.3733245293
365	0.3726917571
366	0.3718715861
367	0.3713972531
368	0.3708065544
369	0.3700421771
370	0.3695489792
371	0.3688900526
372	0.3683040759
373	0.3678458091
374	0.3673258436
375	0.3665582933
376	0.3658878871
377	0.3652509467
378	0.3643519928
379	0.3640274572
380	0.3631396314
381	0.3626886522
382	0.3622055939
383	0.3616660354
384	0.3613273038
385	0.3606682247
386	0.3602877075
387	0.3598713962
388	0.3595063415
389	0.3591226269
390	0.3587351633
391	0.3582395965
392	0.3578586489
393	0.3572602538
394	0.3567273026
395	0.3562036933
396	0.3557505995
397	0.3551248414
398	0.3545117434
399	0.3540195344
400	0.3535248936
401	0.3529415884
402	0.3522756288
403	0.3517570322
404	0.3512101336
405	0.3509012473
406	0.3503324986
407	0.3499114618
408	0.3494278981
409	0.3489047357
410	0.3485293901
411	0.3478816662
